Edad,Propiedad,Alquiler a precio de mercado,Alquiler inferior al precio de mercado,Cesión
Total,75.900000000000006,15.1,3,6.0999999999999996
16-29,30.699999999999999,47.600000000000001,5.7999999999999998,15.9
30-44,56.700000000000003,28.899999999999999,4,10.4
45-64,79.299999999999997,12.9,2.7000000000000002,5.0999999999999996
65+,89.400000000000006,5,2.2999999999999998,3.2999999999999998
